method,clustNum,prop
RETCHER,5,0.962702576
RETCHER,5,0.947000932
RETCHER,5,0.865953302
RETCHER,5,1
RETCHER,5,0.833944099
RETCHER,5,0.882967051
RETCHER,5,0.87509421
RETCHER,5,1
RETCHER,5,0.89389769
RETCHER,5,0.886021312
RETCHER,5,0.880074138
RETCHER,5,0.85494025
RETCHER,5,0.856432698
RETCHER,5,0.781363622
RETCHER,5,0.918658393
RETCHER,5,1
RETCHER,5,1
RETCHER,5,0.803607693
RETCHER,5,0.948549218
RETCHER,5,0.885490929
RETCHER,7,0.90460497
RETCHER,7,0.821707453
RETCHER,7,0.838819859
RETCHER,7,0.916646116
RETCHER,7,0.933946801
RETCHER,7,1
RETCHER,7,0.819106825
RETCHER,7,0.789915813
RETCHER,7,0.848161568
RETCHER,7,0.7101423
RETCHER,7,0.916537026
RETCHER,7,0.917249767
RETCHER,7,0.897260088
RETCHER,7,0.967033067
RETCHER,7,0.863001414
RETCHER,7,0.937498613
RETCHER,7,0.869228328
RETCHER,7,0.75139264
RETCHER,7,0.876413183
RETCHER,7,0.815792804
RETCHER,9,0.700240405
RETCHER,9,0.841441741
RETCHER,9,0.836932441
RETCHER,9,0.706326563
RETCHER,9,0.638151291
RETCHER,9,0.627858762
RETCHER,9,0.722278746
RETCHER,9,0.894537685
RETCHER,9,0.631912036
RETCHER,9,0.861208769
RETCHER,9,0.826581419
RETCHER,9,0.811100032
RETCHER,9,0.895769365
RETCHER,9,0.688474296
RETCHER,9,0.867735284
RETCHER,9,0.781935151
RETCHER,9,0.67258789
RETCHER,9,0.685788265
RETCHER,9,0.753707586
RETCHER,9,0.748929149
pyclone,5,0.802842208
pyclone,5,1
pyclone,5,0.728631084
pyclone,5,0.784810172
pyclone,5,0.776443517
pyclone,5,0.783231892
pyclone,5,0.90822472
pyclone,5,0.823380698
pyclone,5,0.950021772
pyclone,5,0.920208521
pyclone,5,0.713328301
pyclone,5,0.694554859
pyclone,5,0.914460209
pyclone,5,0.83370934
pyclone,5,1
pyclone,5,0.893421224
pyclone,5,0.95657018
pyclone,5,0.897729108
pyclone,5,0.825045756
pyclone,5,0.862313007
pyclone,7,0.807454707
pyclone,7,0.657938264
pyclone,7,0.85075993
pyclone,7,0.874965372
pyclone,7,0.850234757
pyclone,7,0.725398167
pyclone,7,0.907341531
pyclone,7,0.797377309
pyclone,7,0.951595756
pyclone,7,0.853327606
pyclone,7,0.656574581
pyclone,7,0.684928996
pyclone,7,0.81162034
