method,clust,prop
RETCHER,5,0.886711359
RETCHER,5,0.74920415
RETCHER,5,0.86999777
RETCHER,5,0.768067988
RETCHER,5,0.836641499
RETCHER,5,0.941628638
RETCHER,5,0.842620797
RETCHER,5,0.774617486
RETCHER,5,0.95851604
RETCHER,5,0.974118517
RETCHER,5,0.890668806
RETCHER,5,0.894712821
RETCHER,5,1
RETCHER,5,0.814017532
RETCHER,5,0.885112478
RETCHER,5,0.724961167
RETCHER,5,0.878553792
RETCHER,5,0.858730275
RETCHER,5,0.657556567
RETCHER,5,0.90771258
RETCHER,7,0.835469448
RETCHER,7,0.95746039
RETCHER,7,0.928278438
RETCHER,7,0.757080682
RETCHER,7,0.866200287
RETCHER,7,0.78971696
RETCHER,7,0.736838772
RETCHER,7,0.786263987
RETCHER,7,0.837898624
RETCHER,7,0.933197635
RETCHER,7,0.741362117
RETCHER,7,0.617250804
RETCHER,7,0.702103372
RETCHER,7,0.789048994
RETCHER,7,0.791284808
RETCHER,7,0.810536548
RETCHER,7,0.88643787
RETCHER,7,0.785882468
RETCHER,7,0.835298743
RETCHER,7,0.781657739
RETCHER,9,0.837574625
RETCHER,9,0.667219679
RETCHER,9,0.731474534
RETCHER,9,0.837305758
RETCHER,9,0.763402839
RETCHER,9,0.750797755
RETCHER,9,0.926895878
RETCHER,9,0.834281811
RETCHER,9,0.654065368
RETCHER,9,0.817436347
RETCHER,9,0.814682413
RETCHER,9,0.859786363
RETCHER,9,0.724826064
RETCHER,9,0.727839627
RETCHER,9,0.72133273
RETCHER,9,0.823035546
RETCHER,9,0.675871913
RETCHER,9,0.872206693
RETCHER,9,0.738040649
RETCHER,9,0.774478197
citup,5,0.683466872
citup,5,0.707756188
citup,5,0.642198722
citup,5,0.722251837
citup,5,0.793872418
citup,5,0.737644725
citup,5,0.801176698
citup,5,0.892424995
citup,5,0.722630354
citup,5,0.821388294
citup,5,0.682800226
citup,5,0.874513836
citup,5,0.691832157
citup,5,0.806547371
citup,5,0.752431334
citup,5,0.838970093
citup,5,0.782653767
citup,5,0.814038374
citup,5,0.904008853
citup,5,0.741510327
citup,7,0.712669351
citup,7,0.68492365
citup,7,0.765336769
citup,7,0.705212719
citup,7,0.778906248
citup,7,0.727532434
citup,7,0.597277897
citup,7,0.754632352
citup,7,0.678607124
citup,7,0.564551937
citup,7,0.732354892
citup,7,0.662815932
citup,7,0.722511243
citup,7,0.755025264
citup,7,0.744080397
citup,7,0.668378879
citup,7,0.781851202
citup,7,0.710001588
citup,7,0.818148425
citup,7,0.722027504
citup,9,0.674438498
